,Accuracy,Precision Real,Recall Real,F1 Real,Precision Fake,Recall Fake,F1 Fake,Macro F1
EnvSDD,0.9972,0.9922,0.9938,0.9930,0.9985,0.9980,0.9983,0.9956
Lens-DF,0.6870,0.6819,0.7010,0.6913,0.6924,0.6730,0.6826,0.6869
